Quận,Loại nhà,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet,Loại Nhà (mã hóa),Quận (mã hóa),Khoảng giá,Mức giá (triệu/m²)
Gia Lâm,Căn hộ chung cư,55.0,2.07,2,1,0,4,1,37.63636363636363
Nam Từ Liêm,Căn hộ chung cư,140.0,9.5,4,3,0,12,1,67.85714285714286
Hà Đông,Căn hộ chung cư,98.0,3.19,3,2,0,9,1,32.55102040816327
Nam Từ Liêm,Căn hộ chung cư,59.0,2.9,2,2,0,12,1,49.152542372881356
Hà Đông,Căn hộ chung cư,92.0,3.5,2,2,0,9,1,38.04347826086956
Nam Từ Liêm,Căn hộ chung cư,81.0,5.9,3,2,0,12,1,72.8395061728395
Hai Bà Trưng,Căn hộ chung cư,75.0,4.5,2,2,0,5,1,60.0
Nam Từ Liêm,Căn hộ chung cư,42.0,2.6,2,2,0,12,1,61.904761904761905
Gia Lâm,Căn hộ chung cư,59.0,1.85,2,1,0,4,0,31.35593220338983
Hà Đông,Căn hộ chung cư,98.0,3.3,3,2,0,9,1,33.673469387755105
Nam Từ Liêm,Căn hộ chung cư,131.0,9.5,4,3,0,12,1,72.51908396946565
Gia Lâm,Căn hộ chung cư,55.0,2.15,1,1,0,4,1,39.09090909090909
Hai Bà Trưng,Căn hộ chung cư,95.0,5.6,3,2,0,5,1,58.94736842105263
Hà Đông,Căn hộ chung cư,94.0,3.5,3,2,0,9,1,37.234042553191486
Long Biên,Căn hộ chung cư,80.0,4.0,2,2,0,10,1,50.0
Gia Lâm,Căn hộ chung cư,59.0,1.96,2,1,0,4,0,33.220338983050844
Gia Lâm,Căn hộ chung cư,67.0,3.1,2,2,0,4,1,46.26865671641791
Gia Lâm,Căn hộ chung cư,60.0,3.72,2,2,0,4,1,62.0
Nam Từ Liêm,Căn hộ chung cư,59.0,2.8,2,2,0,12,1,47.45762711864407
Thường Tín,Nhà riêng,300.0,7.0,3,2,2,19,1,23.333333333333332
Cầu Giấy,Nhà mặt phố,50.0,21.0,6,6,1,3,2,420.0
Nam Từ Liêm,Căn hộ chung cư,52.0,3.17,2,1,0,12,1,60.96153846153846
Long Biên,Căn hộ chung cư,77.0,4.1,3,3,0,10,1,53.246753246753244
Hai Bà Trưng,Căn hộ chung cư,63.0,4.3,2,1,0,5,1,68.25396825396825
Cầu Giấy,Căn hộ chung cư,72.0,5.1,2,2,0,3,1,70.83333333333333
Gia Lâm,Căn hộ chung cư,70.0,3.64,2,2,0,4,1,52.0
Nam Từ Liêm,Căn hộ chung cư,63.0,3.0,2,2,0,12,1,47.61904761904762
Nam Từ Liêm,Căn hộ chung cư,66.0,3.5,2,2,0,12,1,53.03030303030303
Bắc Từ Liêm,Căn hộ chung cư,93.0,4.2,2,2,0,1,1,45.16129032258065
Hai Bà Trưng,Căn hộ chung cư,94.0,5.0,3,2,0,5,1,53.191489361702125
Bắc Từ Liêm,Căn hộ chung cư,95.0,5.7,2,2,0,1,1,60.0
Bắc Từ Liêm,Căn hộ chung cư,110.0,5.1,3,2,0,1,1,46.36363636363637
Gia Lâm,Căn hộ chung cư,65.0,3.2,2,2,0,4,1,49.23076923076923
Thanh Xuân,Căn hộ chung cư,161.0,11.6886,4,3,0,18,2,72.6
Nam Từ Liêm,Căn hộ chung cư,81.0,5.2,3,2,0,12,1,64.19753086419753
Bắc Từ Liêm,Căn hộ chung cư,114.0,6.3,3,2,0,1,1,55.26315789473684
Bắc Từ Liêm,Căn hộ chung cư,104.0,5.512,3,2,0,1,1,53.0
Long Biên,Căn hộ chung cư,56.0,2.45,2,1,0,10,1,43.75
Đống Đa,Nhà riêng,45.0,5.2,3,3,2,24,1,115.55555555555556
Ba Đình,Nhà mặt phố,52.0,46.8,4,4,1,0,2,900.0
Đống Đa,Nhà mặt phố,50.0,34.0,6,5,1,24,2,680.0
Đống Đa,Nhà mặt phố,90.0,55.0,6,5,1,24,3,611.1111111111111
Đống Đa,Nhà riêng,41.0,6.5,4,4,2,24,1,158.53658536585365
Cầu Giấy,Nhà riêng,50.0,14.5,5,6,2,3,2,290.0
Cầu Giấy,Căn hộ chung cư,140.0,7.6,3,2,0,3,1,54.285714285714285
Ba Đình,Căn hộ chung cư,80.0,8.5,2,2,0,0,1,106.25
Thanh Xuân,Căn hộ chung cư,110.0,6.2,2,2,0,18,1,56.36363636363637
Ba Đình,Căn hộ chung cư,78.0,7.3,2,2,0,0,1,93.58974358974359
Long Biên,Căn hộ chung cư,120.0,5.45,3,3,0,10,1,45.416666666666664
Hai Bà Trưng,Căn hộ chung cư,81.0,3.15,2,2,0,5,1,38.888888888888886
Thanh Trì,Nhà riêng,48.0,3.25,4,3,2,17,1,67.70833333333333
Tây Hồ,Căn hộ chung cư,39.0,2.0,1,1,0,21,0,51.282051282051285
Hai Bà Trưng,Căn hộ chung cư,105.0,5.0,3,2,0,5,1,47.61904761904762
Hai Bà Trưng,Căn hộ chung cư,110.0,7.5,3,2,0,5,1,68.18181818181819
Đống Đa,Nhà riêng,38.0,9.5,4,3,2,24,1,250.0
Long Biên,Nhà riêng,90.0,16.5,4,3,2,10,2,183.33333333333334
Thanh Trì,Căn hộ chung cư,66.0,2.15,2,2,0,17,1,32.57575757575758
Tây Hồ,Nhà riêng,38.0,14.2,3,4,2,21,2,373.6842105263158
Hai Bà Trưng,Căn hộ chung cư,128.0,5.2,3,2,0,5,1,40.625
Nam Từ Liêm,Căn hộ chung cư,61.0,3.75,2,2,0,12,1,61.47540983606557
Nam Từ Liêm,Căn hộ chung cư,54.0,3.6,2,2,0,12,1,66.66666666666667
Nam Từ Liêm,Căn hộ chung cư,111.0,9.0,3,2,0,12,1,81.08108108108108
Long Biên,Căn hộ chung cư,120.0,6.7,3,2,0,10,1,55.833333333333336
Ba Đình,Nhà riêng,42.0,4.8,3,3,2,0,1,114.28571428571429
Bắc Từ Liêm,Căn hộ chung cư,105.0,5.3,3,2,0,1,1,50.476190476190474
Bắc Từ Liêm,Căn hộ chung cư,104.0,5.2,3,2,0,1,1,50.0
Thanh Xuân,Nhà riêng,63.0,17.0,11,12,2,18,2,269.8412698412698
Bắc Từ Liêm,Căn hộ chung cư,103.0,5.0,3,2,0,1,1,48.54368932038835
Nam Từ Liêm,Căn hộ chung cư,100.0,7.5,3,2,0,12,1,75.0
Thanh Xuân,Căn hộ chung cư,130.0,11.0,3,3,0,18,2,84.61538461538461
Hà Đông,Căn hộ chung cư,123.0,6.5,3,2,0,9,1,52.84552845528455
Cầu Giấy,Nhà riêng,48.0,11.5,6,4,2,3,2,239.58333333333334
Gia Lâm,Căn hộ chung cư,86.0,5.5,3,2,0,4,1,63.95348837209303
Đống Đa,Nhà riêng,60.0,26.0,5,6,2,24,2,433.3333333333333
Nam Từ Liêm,Căn hộ chung cư,63.0,2.85,2,2,0,12,1,45.23809523809524
Long Biên,Căn hộ chung cư,84.0,3.7,3,2,0,10,1,44.04761904761905
Thanh Xuân,Căn hộ chung cư,161.0,11.6,3,2,0,18,2,72.04968944099379
Tây Hồ,Căn hộ chung cư,146.0,9.5,3,2,0,21,1,65.06849315068493
Ba Đình,Căn hộ chung cư,80.0,8.0,2,2,0,0,1,100.0
Hoài Đức,Căn hộ chung cư,59.0,2.4,2,2,0,6,1,40.67796610169491
Nam Từ Liêm,Căn hộ chung cư,55.0,2.9,2,1,0,12,1,52.72727272727273
Hà Đông,Căn hộ chung cư,142.0,5.8,3,3,0,9,1,40.84507042253521
Tây Hồ,Căn hộ chung cư,123.0,5.8,3,2,0,21,1,47.15447154471545
Đống Đa,Nhà riêng,59.0,8.0,4,3,2,24,1,135.59322033898306
Gia Lâm,Căn hộ chung cư,48.0,3.48,2,1,0,4,1,72.5
Tây Hồ,Căn hộ chung cư,123.0,5.8,3,2,0,21,1,47.15447154471545
Long Biên,Nhà riêng,52.0,9.5,4,4,2,10,1,182.69230769230768
Nam Từ Liêm,Căn hộ chung cư,84.0,5.376,3,2,0,12,1,64.0
Cầu Giấy,Căn hộ chung cư,140.0,7.36,3,2,0,3,1,52.57142857142857
Long Biên,Nhà riêng,52.0,4.5,3,4,2,10,1,86.53846153846153
Cầu Giấy,Nhà riêng,80.0,15.6,20,20,2,3,2,195.0
Nam Từ Liêm,Căn hộ chung cư,43.0,2.3,1,1,0,12,1,53.48837209302326
Bắc Từ Liêm,Căn hộ chung cư,121.0,4.7,3,2,0,1,1,38.84297520661157
Nam Từ Liêm,Căn hộ chung cư,64.0,3.2,2,1,0,12,1,50.0
Nam Từ Liêm,Căn hộ chung cư,75.0,4.05,3,2,0,12,1,54.0
Bắc Từ Liêm,Căn hộ chung cư,89.0,5.0,3,2,0,1,1,56.17977528089887
Tây Hồ,Căn hộ chung cư,123.0,5.9,3,2,0,21,1,47.96747967479675
Tây Hồ,Nhà mặt phố,168.0,55.0,8,8,1,21,3,327.3809523809524
Gia Lâm,Căn hộ chung cư,66.0,3.25,2,2,0,4,1,49.24242424242424
Hoàng Mai,Căn hộ chung cư,64.0,3.1,2,2,0,8,1,48.4375
Bắc Từ Liêm,Căn hộ chung cư,74.0,4.0,2,2,0,1,1,54.054054054054056
Gia Lâm,Căn hộ chung cư,47.0,2.04,1,1,0,4,1,43.40425531914894
Ba Đình,Căn hộ chung cư,85.0,9.3,3,3,0,0,1,109.41176470588235
Thanh Xuân,Căn hộ chung cư,54.0,1.1,2,1,0,18,0,20.37037037037037
Quốc Oai,Nhà riêng,42.0,2.05,3,2,2,13,1,48.80952380952381
Nam Từ Liêm,Căn hộ chung cư,78.0,4.8,3,2,0,12,1,61.53846153846154
Gia Lâm,Căn hộ chung cư,99.0,4.99,3,2,0,4,1,50.4040404040404
Nam Từ Liêm,Căn hộ chung cư,136.0,7.96,4,3,0,12,1,58.529411764705884
Nam Từ Liêm,Căn hộ chung cư,114.0,7.5,3,2,0,12,1,65.78947368421052
Hà Đông,Căn hộ chung cư,82.0,5.7,2,2,0,9,1,69.51219512195122
Bắc Từ Liêm,Căn hộ chung cư,90.0,4.9,3,2,0,1,1,54.44444444444444
Nam Từ Liêm,Căn hộ chung cư,80.0,4.8,2,2,0,12,1,60.0
Hai Bà Trưng,Căn hộ chung cư,74.0,3.5,2,2,0,5,1,47.2972972972973
Nam Từ Liêm,Căn hộ chung cư,32.0,1.45,1,1,0,12,0,45.3125
Nam Từ Liêm,Căn hộ chung cư,55.0,2.2,2,1,0,12,1,40.0
Long Biên,Nhà riêng,30.0,2.95,3,4,2,10,1,98.33333333333333
Nam Từ Liêm,Căn hộ chung cư,52.0,3.1,2,1,0,12,1,59.61538461538461
Bắc Từ Liêm,Căn hộ chung cư,100.0,5.7,3,2,0,1,1,57.0
Bắc Từ Liêm,Nhà mặt phố,172.0,20.0,5,5,1,1,2,116.27906976744185
Thanh Xuân,Căn hộ chung cư,100.0,6.0,2,2,0,18,1,60.0
Cầu Giấy,Căn hộ chung cư,86.0,7.5,3,2,0,3,1,87.20930232558139
Bắc Từ Liêm,Căn hộ chung cư,80.0,4.2,2,2,0,1,1,52.5
Đống Đa,Nhà riêng,89.0,30.0,16,9,2,24,2,337.07865168539325
Tây Hồ,Căn hộ chung cư,39.0,2.6,1,1,0,21,1,66.66666666666667
Hai Bà Trưng,Căn hộ chung cư,118.0,5.5,3,2,0,5,1,46.610169491525426
Long Biên,Căn hộ chung cư,117.0,6.99,4,2,0,10,1,59.743589743589745
Long Biên,Căn hộ chung cư,89.0,4.0,2,2,0,10,1,44.943820224719104
Nam Từ Liêm,Căn hộ chung cư,54.0,2.7,2,2,0,12,1,50.0
