Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
104 m²,7 tỷ,3 phòng,3 phòng,Hợp đồng mua bán,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"Dự án BRG Diamond Residence, 25 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",19/04/2024,,,,,,
168 m²,8 tỷ,3 phòng,2 phòng,,Hà Nội,Tây Hồ,Căn hộ chung cư tại Udic Westlake,"Dự án Udic Westlake, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội",07/05/2024,,,,,,
260 m²,"54,5 tỷ",10 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Long Biên,Nhà mặt phố tại đường Phúc Lợi,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",07/05/2024,17 m,17 m,7 tầng,Đầy đủ.,,
77 m²,"4,2 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",19/04/2024,,,,"Cơ bản Nội thất bàn giao cao cấp: Hafele, Kohler.",,
160 m²,20 tỷ,,,,Hà Nội,Cầu Giấy,Nhà riêng tại phường Nghĩa Đô,"Phường Nghĩa Đô, Cầu Giấy, Hà Nội",04/05/2024,"12,5 m",,,,,
108 m²,"4,85 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Sun Square,"Dự án Sun Square, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,,
40 m²,"9,2 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",07/05/2024,"4,3 m",,6 tầng,Đầy đủ,,
100 m²,6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Gardenia,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",07/05/2024,,,,Cơ bản.,,
135 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Iris Garden,"Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",27/04/2024,,,,Đầu đủ nội thất - sẵn về ở ngay,Bắc,Nam
"41,2 m²","2,32 tỷ",4 phòng,3 phòng,,Hà Nội,Hà Đông,Nhà riêng tại đường 21B,"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",06/05/2024,,,3 tầng,Nhà có nội thất cơ bản.,,
80 m²,17 tỷ,5 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",05/05/2024,6 m,,4 tầng,,,
