Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Gia Lâm,Căn hộ chung cư,55.0,2.07,2,1
Nam Từ Liêm,Căn hộ chung cư,140.0,9.5,4,3
Hà Đông,Căn hộ chung cư,98.0,3.19,3,2
Nam Từ Liêm,Căn hộ chung cư,59.0,2.9,2,2
Hà Đông,Căn hộ chung cư,92.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,81.0,5.9,3,2
Hai Bà Trưng,Căn hộ chung cư,75.0,4.5,2,2
Nam Từ Liêm,Căn hộ chung cư,42.0,2.6,2,2
Gia Lâm,Căn hộ chung cư,59.0,1.85,2,1
Hà Đông,Căn hộ chung cư,98.0,3.3,3,2
Nam Từ Liêm,Căn hộ chung cư,131.0,9.5,4,3
Gia Lâm,Căn hộ chung cư,55.0,2.15,1,1
Hai Bà Trưng,Căn hộ chung cư,95.0,5.6,3,2
Hà Đông,Căn hộ chung cư,94.0,3.5,3,2
Long Biên,Căn hộ chung cư,80.0,4.0,2,2
Gia Lâm,Căn hộ chung cư,59.0,1.96,2,1
Gia Lâm,Căn hộ chung cư,67.0,3.1,2,2
Gia Lâm,Căn hộ chung cư,60.0,3.72,2,2
Nam Từ Liêm,Căn hộ chung cư,59.0,2.8,2,2
Thường Tín,Nhà riêng,300.0,7.0,3,2
Cầu Giấy,Nhà mặt phố,50.0,21.0,6,6
Nam Từ Liêm,Căn hộ chung cư,52.0,3.17,2,1
Long Biên,Căn hộ chung cư,77.0,4.1,3,3
Hai Bà Trưng,Căn hộ chung cư,63.0,4.3,2,1
Cầu Giấy,Căn hộ chung cư,72.0,5.1,2,2
Gia Lâm,Căn hộ chung cư,70.0,3.64,2,2
Nam Từ Liêm,Căn hộ chung cư,63.0,3.0,2,2
Nam Từ Liêm,Căn hộ chung cư,66.0,3.5,2,2
Bắc Từ Liêm,Căn hộ chung cư,93.0,4.2,2,2
Hai Bà Trưng,Căn hộ chung cư,94.0,5.0,3,2
Bắc Từ Liêm,Căn hộ chung cư,95.0,5.7,2,2
Bắc Từ Liêm,Căn hộ chung cư,110.0,5.1,3,2
Gia Lâm,Căn hộ chung cư,65.0,3.2,2,2
Thanh Xuân,Căn hộ chung cư,161.0,11.69,4,3
Nam Từ Liêm,Căn hộ chung cư,81.0,5.2,3,2
