Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng
40 m²,7 tỷ,"5,2 m",2 m,Đông - Bắc,Đông - Bắc,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Đặng Văn Ngữ,"Đường Đặng Văn Ngữ, Phường Nam Đồng, Đống Đa, Hà Nội",04/05/2024
"38,6 m²","6,5 tỷ",10 m,,,,4 tầng,2 phòng,,Sổ đỏ,,Hà Nội,Ba Đình,Nhà riêng tại phố Kim Mã,"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",04/05/2024
40 m²,"8,2 tỷ",5 m,7 m,Đông - Nam,,5 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà mặt phố tại đường Xa La,"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",04/05/2024
52 m²,"7,9 tỷ","3,5 m",2 m,,,6 tầng,10 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Bùi Xương Trạch,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",04/05/2024
109 m²,"3,6 tỷ",,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,- Pháp lý Sổ đỏ.,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Khu đô thị Mễ Trì Thượng,"Dự án Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",04/05/2024
60 m²,"7,5 tỷ",7 m,,,,3 tầng,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Thịnh Liệt,"Đường Thịnh Liệt, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",04/05/2024
60 m²,15 tỷ,"5,5 m",,,,5 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hoàng Quốc Việt,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",04/05/2024
"39,5 m²","9,8 tỷ","8,4 m",10 m,,,7 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Hoàng Đạo Thành,"Đường Hoàng Đạo Thành, Phường Kim Giang, Thanh Xuân, Hà Nội",04/05/2024
"65,7 m²","1,45 tỷ",,,Nam,Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thạch Thất,Căn hộ chung cư tại Phenikaa Hòa Lạc,"Dự án Phenikaa Hòa Lạc, Xã Thạch Hòa, Thạch Thất, Hà Nội",04/05/2024
41 m²,"7,5 tỷ",,,,,4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tân Mai,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",04/05/2024
40 m²,"5,2 tỷ","6,1 m",,,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Lò Đúc,"Phố Lò Đúc, Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội",04/05/2024
45 m²,8 tỷ,5 m,5 m,,,6 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường Phú Xá,"Đường Phú Xá, Phường Phú Thượng, Tây Hồ, Hà Nội",04/05/2024
55 m²,"7,2 tỷ",,,,,4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Lò Đúc,"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",04/05/2024
45 m²,"7,2 tỷ","5,5 m",2 m,,,6 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Khương Trung,"Đường Khương Trung, Phường Khương Đình, Thanh Xuân, Hà Nội",04/05/2024
"70,2 m²",18 tỷ,,12 m,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại phố Ngụy Như Kon Tum,"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",04/05/2024
59 m²,"13,8 tỷ","4,2 m",3 m,,,7 tầng,11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại đường Bùi Xương Trạch,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",04/05/2024
56 m²,14 tỷ,"4,2 m",,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",04/05/2024
55 m²,Thỏa thuận,"4,2 m",,,,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà riêng tại đường 19/5,"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",04/05/2024
62 m²,14 tỷ,"5,6 m",,,,5 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",04/05/2024
50 m²,"6,89 tỷ",,,,,5 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ full nội thất,",Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mễ Trì,"Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",04/05/2024
62 m²,14 tỷ,"5,6 m",,,,5 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",04/05/2024
50 m²,"6,89 tỷ",,,,,5 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ full nội thất,",Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mễ Trì,"Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",04/05/2024
114 m²,Thỏa thuận,,,Đông - Nam,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",04/05/2024
85 m²,"15,6 tỷ","5,38 m",,,,7 tầng,24 phòng,24 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đình Thôn,"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",04/05/2024
46 m²,"6,39 tỷ",,,,,5 tầng,9 phòng,9 phòng,- Sổ đỏ vuông đẹp sẵn sàng giao dịch.,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đình Thôn,"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",04/05/2024
33 m²,"4,2 tỷ",,2 m,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Trì,Nhà riêng tại đường Yên Xá,"Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",04/05/2024
76 m²,79 triệu/m²,"4,3 m",3 m,Tây - Nam,Tây - Nam,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hoài Đức,Nhà riêng tại đường Phú Vinh,"Đường Phú Vinh, Xã An Khánh, Hoài Đức, Hà Nội",04/05/2024
106 m²,40 tỷ,6 m,18 m,,,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà mặt phố tại phố Mai Anh Tuấn,"Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",28/04/2024
75 m²,"15,5 tỷ","5,2 m",,,,7 tầng,22 phòng,22 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ full nội thất.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đình Thôn,"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",04/05/2024
50 m²,"20,2 tỷ",7 m,10 m,,,6 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Yên Hòa,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",23/04/2024
70 m²,34 tỷ,6 m,15 m,,,9 tầng,5 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Nhà mặt phố tại phố Quan Nhân,"Phố Quan Nhân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",23/04/2024
71 m²,35 tỷ,"6,5 m",15 m,,,9 tầng,6 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Xuân,Nhà mặt phố tại phố Quan Nhân,"Phố Quan Nhân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",28/04/2024
60 m²,29 tỷ,"5,5 m",15 m,,,8 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà riêng tại đường Cát Linh,"Ngõ 35, Đường Cát Linh, Phường Cát Linh, Đống Đa, Hà Nội",24/04/2024
141 m²,53 tỷ,20 m,8 m,,,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Trần Thái Tông,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội",04/05/2024
51 m²,"8,5 tỷ",,,,,6 tầng,10 phòng,10 phòng,,Full đồ.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",04/05/2024
50 m²,20 tỷ,"4,5 m",8 m,,,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Cầu,"Ngõ 95, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",25/04/2024
39 m²,"9,68 tỷ","3,5 m",10 m,,,6 tầng,3 phòng,4 phòng,Sổ đỏ,,Hà Nội,Hà Đông,Nhà riêng tại đường Chiến Thắng,"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",04/05/2024
55 m²,18 tỷ,,,,,2 tầng,2 phòng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Xuân Thủy,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",04/05/2024
38 m²,"7,25 tỷ","3,5 m",10 m,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà riêng tại đường Chiến Thắng,"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",04/05/2024
33 m²,"3,35 tỷ","3,6 m","2,3 m",Tây - Bắc,,5 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",04/05/2024
33 m²,"3,35 tỷ","3,6 m","2,3 m",Tây - Bắc,,5 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",04/05/2024
52 m²,"4,1 tỷ","4,2 m","2,5 m",,,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Phú Minh,"Đường Phú Minh, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",04/05/2024
65 m²,25 tỷ,"5,2 m",,,,,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Hồ Văn Chương,"Đường Hồ Văn Chương, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",04/05/2024
30 m²,"5,5 tỷ","3,3 m",4 m,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",03/05/2024
54 m²,"5,6 tỷ","4,5 m",3 m,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Phú Minh,"Đường Phú Minh, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",04/05/2024
45 m²,"7,5 tỷ","3,2 m",3 m,,,5 tầng,6 phòng,4 phòng,- Sổ đỏ chính chủ sẵn sàng giao dịch.,"Sang xịn mịn,",Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Phú Mỹ,"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",03/05/2024
135 m²,80 tỷ,,,,,10 tầng,,,Sổ đỏ,,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phường Bách Khoa,"Phường Bách Khoa, Hai Bà Trưng, Hà Nội",04/05/2024
40 m²,"11,3 tỷ",4 m,,,,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hà Đông,Nhà riêng tại đường Ao Sen,"Đường Ao Sen, Phường Mỗ Lao, Hà Đông, Hà Nội",04/05/2024
50 m²,"21,5 tỷ",4 m,8 m,,,7 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Cầu,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",25/04/2024
30 m²,"2,25 tỷ",,,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại phường Yên Nghĩa,"Phường Yên Nghĩa, Hà Đông, Hà Nội",01/05/2024
40 m²,15 tỷ,,,,,6 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phùng Chí Kiên,"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",04/05/2024
68 m²,37 tỷ,"5,4 m",,,,9 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại phố Nghĩa Tân,"Phố Nghĩa Tân, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",02/05/2024
45 m²,"17,9 tỷ",4 m,6 m,,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Phố Thái Hà, Phường Ngã Tư Sở, Đống Đa, Hà Nội",04/05/2024
