Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Số toilet,Hướng nhà,Hướng ban công
36 m²,"4,85 tỷ",5 m,2 m,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,
53 m²,745 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ chỉ việc đến ở, tủ bếp, hút mùi, bếp từ, chậu rửa, sàn gạch, trần thạch cao, bảo ôn điều hòa, thiết bị vệ sinh và bình nóng lạnh, giường tủ, sofa, kệ tivi, cửa gỗ thịt tự nhiên.",Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Giải Phóng,"Đường Giải Phóng, Phường Tương Mai, Hoàng Mai, Hà Nội",03/05/2024,2 phòng,,
53 m²,744 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại đường Kim Ngưu,"Đường Kim Ngưu, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",30/04/2024,2 phòng,,
65 m²,"13,55 tỷ",5 m,7 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,4 phòng,,
40 m²,"4,9 tỷ",4 m,"2,5 m",4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Cổ Nhuế,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",06/05/2024,4 phòng,,
63 m²,"12,6 tỷ",6 m,3 m,8 tầng,14 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,14 phòng,,
40 m²,"3,95 tỷ",,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Thanh Am,"Đường Thanh Am, Phường Đức Giang, Long Biên, Hà Nội",06/05/2024,3 phòng,,
53 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất, về ở ngay.",Hà Nội,Thanh Xuân,Căn hộ chung cư tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
92 m²,"8,2 tỷ",,,6 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,9 phòng,,
59 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Giải Phóng,"Đường Giải Phóng, Phường Tương Mai, Hoàng Mai, Hà Nội",06/05/2024,2 phòng,,
30 m²,"4,2 tỷ","4,5 m",4 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,"Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",06/05/2024,3 phòng,,
59 m²,920 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Đống Đa,Căn hộ chung cư tại phố Xã Đàn,"Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
77 m²,Thỏa thuận,,,,2 phòng,Hợp đồng mua bán,Full nội thất,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
"79,4 m²","3,35 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,2 phòng,,Nam
119 m²,"24,5 tỷ","6,7 m",10 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Cầu Diễn,"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",30/04/2024,4 phòng,,
58 m²,900 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Lê Duẩn,"Đường Lê Duẩn, Phường Phương Liên, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
60 m²,32 tỷ,"5,1 m",20 m,7 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",01/05/2024,7 phòng,,
36 m²,"4,85 tỷ",5 m,2 m,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,
53 m²,745 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ chỉ việc đến ở, tủ bếp, hút mùi, bếp từ, chậu rửa, sàn gạch, trần thạch cao, bảo ôn điều hòa, thiết bị vệ sinh và bình nóng lạnh, giường tủ, sofa, kệ tivi, cửa gỗ thịt tự nhiên.",Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Giải Phóng,"Đường Giải Phóng, Phường Tương Mai, Hoàng Mai, Hà Nội",03/05/2024,2 phòng,,
53 m²,744 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại đường Kim Ngưu,"Đường Kim Ngưu, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",30/04/2024,2 phòng,,
65 m²,"13,55 tỷ",5 m,7 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phạm Tuấn Tài,"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,4 phòng,,
40 m²,"4,9 tỷ",4 m,"2,5 m",4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Cổ Nhuế,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",06/05/2024,4 phòng,,
63 m²,"12,6 tỷ",6 m,3 m,8 tầng,14 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,14 phòng,,
40 m²,"3,95 tỷ",,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Thanh Am,"Đường Thanh Am, Phường Đức Giang, Long Biên, Hà Nội",06/05/2024,3 phòng,,
53 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất, về ở ngay.",Hà Nội,Thanh Xuân,Căn hộ chung cư tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
92 m²,"8,2 tỷ",,,6 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,9 phòng,,
59 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Giải Phóng,"Đường Giải Phóng, Phường Tương Mai, Hoàng Mai, Hà Nội",06/05/2024,2 phòng,,
30 m²,"4,2 tỷ","4,5 m",4 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,"Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",06/05/2024,3 phòng,,
59 m²,920 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Đống Đa,Căn hộ chung cư tại phố Xã Đàn,"Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
77 m²,Thỏa thuận,,,,2 phòng,Hợp đồng mua bán,Full nội thất,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
"79,4 m²","3,35 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,2 phòng,,Nam
119 m²,"24,5 tỷ","6,7 m",10 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Cầu Diễn,"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",30/04/2024,4 phòng,,
58 m²,900 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Lê Duẩn,"Đường Lê Duẩn, Phường Phương Liên, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
60 m²,32 tỷ,"5,1 m",20 m,7 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",01/05/2024,7 phòng,,
99 m²,"3,97 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
58 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Minh Khai,"Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",04/05/2024,2 phòng,,
60 m²,"15,5 tỷ","6,5 m",5 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",06/05/2024,,,
58 m²,900 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Lê Duẩn,"Đường Lê Duẩn, Phường Phương Liên, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
60 m²,32 tỷ,"5,1 m",20 m,7 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",01/05/2024,7 phòng,,
99 m²,"3,97 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
58 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại đường Minh Khai,"Đường Minh Khai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",04/05/2024,2 phòng,,
60 m²,"15,5 tỷ","6,5 m",5 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Chí Thanh,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",06/05/2024,,,
58 m²,950 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,"Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn led.",Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại đường Xuân La,"Đường Xuân La, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",03/05/2024,2 phòng,,
116 m²,"4,25 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Usilk City,"Dự án Usilk City, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
58 m²,900 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ - về ở luôn.,Hà Nội,Thanh Xuân,Căn hộ chung cư tại đường Thượng Đình,"Đường Thượng Đình, Phường Thượng Đình, Thanh Xuân, Hà Nội.",02/05/2024,2 phòng,,
40 m²,"5,15 tỷ",4 m,2 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Ngọc Hồi,"Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",06/05/2024,4 phòng,Nam,
